iter	Passed	Remaining
0	2	198
1	3	174
2	5	162
3	6	149
4	7	149
5	9	148
6	10	145
7	12	141
8	13	139
9	15	136
10	16	135
11	18	133
12	19	131
13	21	129
14	22	127
15	23	125
16	25	123
17	26	121
18	28	119
19	29	118
20	31	117
21	32	115
22	33	113
23	35	112
24	37	111
25	38	109
26	40	108
27	41	106
28	42	105
29	44	103
30	45	102
31	47	100
32	48	99
33	50	97
34	51	96
35	53	94
36	54	93
37	56	91
38	57	90
39	59	88
40	60	87
41	61	84
42	62	83
43	64	81
44	65	80
45	67	79
46	68	77
47	70	76
48	71	74
49	73	73
50	74	71
51	76	70
52	77	68
53	79	67
54	80	65
55	81	64
56	83	62
57	84	61
58	86	59
59	88	58
60	89	57
61	91	55
62	92	54
63	94	52
64	95	51
65	97	50
66	98	48
67	99	47
68	102	45
69	103	44
70	104	42
71	106	41
72	107	39
73	109	38
74	110	36
75	112	35
76	113	33
77	115	32
78	118	31
79	120	30
80	121	28
81	123	27
82	126	25
83	127	24
84	128	22
85	130	21
86	132	19
87	133	18
88	134	16
89	136	15
90	137	13
91	139	12
92	140	10
93	142	9
94	143	7
95	145	6
96	146	4
97	148	3
98	149	1
99	151	0
