iter	Passed	Remaining
0	105	105711
1	109	54463
2	110	36797
3	112	27936
4	115	23033
5	117	19473
6	119	16931
7	121	15111
8	123	13620
9	125	12411
10	127	11428
11	128	10603
12	130	9889
13	132	9308
14	134	8817
15	135	8361
16	137	7955
17	139	7634
18	142	7348
19	144	7076
20	146	6843
21	149	6642
22	151	6438
23	153	6258
24	156	6106
25	158	5946
26	161	5805
27	165	5754
28	168	5641
29	172	5562
30	174	5463
31	177	5357
32	180	5278
33	182	5184
34	185	5111
35	187	5026
36	189	4942
37	193	4903
38	196	4832
39	198	4774
40	201	4702
41	203	4636
42	206	4605
43	209	4545
44	211	4494
45	214	4441
46	216	4386
47	218	4341
48	221	4297
49	223	4247
50	225	4202
51	227	4156
52	229	4108
53	232	4066
54	234	4036
55	236	3993
56	239	3955
57	241	3928
58	244	3894
59	246	3860
60	248	3829
61	250	3793
62	253	3763
63	256	3758
64	259	3726
65	261	3705
66	264	3681
67	266	3657
68	270	3648
69	273	3636
70	276	3612
71	279	3602
72	281	3574
73	283	3547
74	285	3527
75	288	3506
76	290	3481
77	293	3467
78	295	3444
79	297	3421
80	299	3403
81	301	3379
82	302	3346
83	304	3325
84	307	3309
85	309	3288
86	311	3269
87	314	3256
88	316	3237
89	318	3221
90	320	3205
91	323	3187
92	324	3168
93	327	3157
94	330	3145
95	332	3132
96	335	3119
97	337	3103
98	339	3086
99	341	3073
100	344	3063
101	346	3048
102	348	3033
103	351	3028
104	353	3013
105	355	2999
106	358	2990
107	360	2977
108	362	2964
109	365	2956
110	367	2946
111	370	2935
112	372	2925
113	374	2913
114	377	2906
115	380	2902
116	383	2893
117	386	2888
118	388	2879
119	392	2877
120	395	2874
121	398	2866
122	400	2856
123	403	2851
124	405	2838
125	408	2831
126	411	2825
127	413	2813
128	416	2809
129	418	2803
130	424	2816
131	428	2815
132	430	2807
133	433	2800
134	435	2789
135	437	2780
136	440	2775
137	442	2764
138	444	2755
139	447	2750
140	449	2739
141	451	2725
142	453	2715
143	455	2709
144	457	2700
145	460	2693
146	463	2687
147	464	2676
148	467	2672
149	471	2671
150	474	2669
151	476	2660
152	478	2650
153	480	2641
154	482	2631
155	488	2640
156	492	2642
157	494	2637
158	498	2636
159	501	2634
160	504	2630
161	506	2621
162	509	2615
163	511	2607
164	515	2611
165	519	2609
166	522	2604
167	525	2600
168	527	2593
169	530	2591
170	533	2584
171	534	2575
172	537	2569
173	539	2560
174	541	2552
175	544	2547
176	546	2543
177	549	2537
178	552	2533
179	554	2525
180	557	2523
181	559	2516
182	562	2510
183	564	2504
184	566	2496
185	569	2491
186	571	2484
187	574	2479
188	577	2478
189	580	2473
190	582	2467
191	585	2463
192	587	2456
193	590	2454
194	594	2453
195	598	2453
196	602	2454
197	604	2449
198	606	2442
199	608	2435
200	611	2430
201	613	2425
202	616	2420
203	619	2416
204	621	2409
205	624	2407
206	627	2404
207	630	2399
208	632	2395
209	635	2391
210	638	2387
211	641	2383
212	643	2377
213	646	2372
214	649	2369
215	652	2369
216	655	2364
217	657	2359
218	660	2354
219	662	2349
220	664	2343
221	666	2337
222	669	2333
223	671	2327
224	673	2320
225	675	2314
226	678	2309
227	680	2302
228	682	2296
229	684	2290
230	686	2284
231	688	2278
232	690	2273
233	693	2271
234	695	2265
235	698	2260
236	700	2256
237	703	2251
238	706	2248
239	708	2244
240	712	2243
241	715	2240
242	717	2233
243	718	2227
244	723	2228
245	725	2224
246	727	2218
247	729	2212
248	731	2205
249	733	2201
250	736	2197
251	740	2198
252	743	2194
253	745	2189
254	748	2186
255	750	2180
256	752	2176
257	755	2173
258	757	2167
259	759	2160
260	761	2155
261	764	2152
262	767	2151
263	771	2150
264	773	2144
265	776	2141
266	778	2137
267	780	2132
268	783	2129
269	786	2127
270	789	2125
271	792	2120
272	794	2115
273	796	2111
